"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test getting all Avisos.","195","Get all Avisos","tests.avisos","2026-09-08","skipped","2026-09-08","TestGetAllAvisos","test_get_all","",""
"Test deleting Classificacao Colaborador.","421","Delete Classificacao Colaborador","tests.classificacao_colaborador","2026-09-08","failed","2026-09-08","TestDeleteClassificacaoColaborador","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","220","test_endpoint[GET__unidade-contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","210","test_endpoint[GET__grupo-area_id_grupo-faturamento]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","245","test_endpoint[GET__contratada_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test updating Amostragem Grupo Area.","401","Update Amostragem Grupo Area","tests.amostragem_grupo_area","2026-09-08","failed","2026-09-08","TestUpdateAmostragemGrupoArea","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","241","test_endpoint[POST__amostragem-grupo-area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","333","test_endpoint[GET__grupo-faturamento_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","235","test_endpoint[POST__objeto-oficial]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Contratada by ID.","524","Get Contratada by ID","tests.contratada","2026-09-08","passed","2026-09-08","TestGetContratadaById","test_get_by_id","",""
"Test getting Contratante by ID.","1015","Get Contratante by ID","tests.contratante","2026-09-08","passed","2026-09-08","TestGetContratanteById","test_get_by_id","",""
"Test one endpoint (one test per endpoint via parametrize ids).","221","test_endpoint[GET__objeto-analise]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","202","test_endpoint[PUT__grupo-faturamento_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test creating Classificacao Colaborador.","316","Create Classificacao Colaborador","tests.classificacao_colaborador","2026-09-08","passed","2026-09-08","TestCreateClassificacaoColaborador","test_create","",""
"Test creating Contratada Contrato.","202","Create Contratada Contrato","tests.contratada_contrato","2026-09-08","failed","2026-09-08","TestCreateContratadaContrato","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","216","test_endpoint[PUT__contratada_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","230","test_endpoint[DELETE__classificacao-colaborador_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","227","test_endpoint[GET__local-servico_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","324","test_endpoint[GET__contrato]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test creating Amostragem Grupo Area.","202","Create Amostragem Grupo Area","tests.amostragem_grupo_area","2026-09-08","failed","2026-09-08","TestCreateAmostragemGrupoArea","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","196","test_endpoint[GET__parametros_legacy-systems]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","238","test_endpoint[GET__risco_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","251","test_endpoint[POST__objeto-analise]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","270","test_endpoint[DELETE__contratada_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","240","test_endpoint[GET__area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","229","test_endpoint[POST__contrato]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","507","test_endpoint[POST__objeto-analise-tipo-especifico]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","242","test_endpoint[GET__classificacao-colaborador]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","197","test_endpoint[PUT__objeto-analise_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Objetos de Mobilização do Grupo de Area atrelados a Contratante.","378","Get Objetos de Mobilização do Grupo de Area atrelados a Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestGetContratanteGrupoAreaById","test_get_grupo_area_by_id","",""
"Test getting Amostragem Grupo Area by ID.","459","Get Amostragem Grupo Area by ID","tests.amostragem_grupo_area","2026-09-08","passed","2026-09-08","TestGetAmostragemGrupoAreaById","test_get_by_id","",""
"Test one endpoint (one test per endpoint via parametrize ids).","5429","test_endpoint[GET__parametros_contatos]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","480","test_endpoint[POST__events_pre-process-status_type]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Area by ID.","435","Get Area by ID","tests.area","2026-09-08","passed","2026-09-08","TestGetAreaById","test_get_by_id","",""
"Test one endpoint (one test per endpoint via parametrize ids).","233","test_endpoint[GET__sub-familia]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","177","test_endpoint[GET__contratante_id_familia]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
